epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae,lr,seconds
1,0.09982881154522064,0.009076155113085868,1.8302428055107178,0.1035266283750534,0.009268188050815038,1.8580084804112111,0.001,246.51905131340027
2,0.08424971844184967,0.007352069714239666,1.6452390661746594,0.08754307312624796,0.007467499494552612,1.6605511401193767,0.001,229.54157543182373
3,0.07397177962556718,0.0062542624040728525,1.5183689096490058,0.07769033319609506,0.0064548273086547855,1.541135151942901,0.001,222.59855437278748
4,0.0717559027160917,0.0061369450551176825,1.5036562923618015,0.07502301436662674,0.006294476609144892,1.5216736863776334,0.001,198.60606479644775
5,0.0676856134765678,0.006182662960082765,1.5080901266623818,0.0722602893795286,0.006459907325250762,1.5500108241236077,0.001,199.16594696044922
6,0.06459928514370843,0.005466345298148337,1.41807361051529,0.06889640934126717,0.00569860888166087,1.4518252796633349,0.001,220.04517316818237
7,0.06253949582576751,0.00518173884789622,1.38068412828856,0.06768738228082657,0.005493601692574365,1.4188498007890564,0.001,226.30796575546265
8,0.060002773915018355,0.005247938373259136,1.391461026660605,0.06547773323740277,0.005563168640647616,1.4317127198685542,0.001,233.25935745239258
9,0.06046942061848111,0.0054342637925393995,1.4154055903114517,0.06577045490060533,0.005769774892500469,1.452612199079564,0.001,241.73421692848206
10,0.058811324668309045,0.0055675573836243344,1.4346207319453868,0.06543834048509597,0.005997875986354691,1.4947250755494217,0.001,221.44236397743225
11,0.05590270457381294,0.004619531053990599,1.3045149159757368,0.06269020517383303,0.005065825883831297,1.3598143193711993,0.001,217.35519170761108
12,0.056476681281176826,0.004812816769712501,1.3304925893139379,0.06372095477581025,0.005289477025823934,1.3939284820029978,0.001,224.96991682052612
13,0.056977698751858305,0.006181156041130187,1.525138488859244,0.06402076085976192,0.006621651444051947,1.5781268816608782,0.001,209.62751269340515
14,0.05387039460218142,0.00487143271203552,1.3409371915856219,0.06156878312144961,0.00537575623180185,1.4063844199101192,0.001,203.63322496414185
15,0.053632828553044604,0.005136987965376604,1.3806510245168415,0.06083669103894915,0.00562765940704516,1.4459740623020012,0.001,204.2991704940796
16,0.054859885340172145,0.004844286721850198,1.3360701674520263,0.06328981261593955,0.005426119670271874,1.4174297165540823,0.001,196.93439745903015
17,0.05172652219448771,0.004900275228042451,1.345046742964707,0.05995824117319924,0.005457141881542546,1.42740863778604,0.001,206.08895325660706
18,0.05019179897554337,0.0041844048035286725,1.242351879908344,0.05850195267370769,0.004753832612718854,1.3274346674644903,0.001,192.60272455215454
19,0.05035498147493317,0.004680252740780513,1.3185243675171996,0.058847282801355635,0.005256019282553877,1.3961350363235083,0.001,202.96337485313416
20,0.050494840814953756,0.0046132632138000595,1.305228262049419,0.05933434852531978,0.005226898441357272,1.3900618417455555,0.001,208.78836798667908
21,0.04880208872944589,0.004024219844904211,1.218672329736873,0.05807927548885346,0.004648749899651323,1.307388595384595,0.001,208.0596525669098
22,0.04963866213058669,0.005034349670249318,1.3687421221337874,0.05868806869643075,0.0056807033887931275,1.4567752181931914,0.001,209.16229391098022
23,0.04836315384838316,0.004171963243493958,1.239039779452255,0.05779770713193076,0.004877633707863944,1.3450089654051203,0.001,224.28674793243408
24,0.04850693238751283,0.0041161850893071715,1.2330042130014651,0.05772051284994398,0.0047551566564611025,1.3272666926046428,0.001,201.19442653656006
25,0.046956574936707816,0.004425368740208565,1.280759793966663,0.05664370896560805,0.005126635149121285,1.3807263471855795,0.001,198.64000749588013
26,0.047917234734410334,0.004933128569689062,1.3531406117056721,0.05805520980698722,0.005692225519035544,1.4619658475089683,0.001,191.18633556365967
27,0.04757185358234814,0.005215825012515461,1.4003348318890434,0.05788372064914022,0.005896485407437597,1.4867350366459855,0.001,190.6285970211029
28,0.04686243553672518,0.003976634343228643,1.2104816178074451,0.05714147094317845,0.004756414738084589,1.3266862619305546,0.001,209.18399620056152
29,0.04575402644560451,0.0038333805319335727,1.1881570374095038,0.05641267543605396,0.004595852803971086,1.3006151075530725,0.001,201.41842937469482
30,0.045635788745350306,0.004622188274586011,1.31009153973966,0.056714159641947065,0.005445331164768764,1.4252253477998766,0.001,210.8574628829956
31,0.04545549959511984,0.004400419017152181,1.278280532291503,0.05670476707390377,0.005246687186615808,1.3958577219858035,0.001,204.11191987991333
32,0.04468472735087077,0.00401597759056659,1.2179066148437259,0.05595498170171465,0.004860877647995949,1.3413374328435252,0.001,239.41367292404175
33,0.044789075093609944,0.004225780352477043,1.2525215070442275,0.05566225614292281,0.0050135098482881274,1.3681011033746064,0.001,182.82171392440796
34,0.0448026150746478,0.0044202808401887375,1.2795677505472896,0.056234318460736954,0.005267874040773937,1.3999140930586917,0.001,206.9413890838623
35,0.04408079327855791,0.004641515826422071,1.3182478036715257,0.05586814865044185,0.005512473507651261,1.4370045630932426,0.001,184.17096829414368
36,0.044429218257703476,0.004342022857850506,1.2706785339144822,0.05632196127516883,0.0052230631762317245,1.3937723340065122,0.001,181.40627431869507
37,0.04350188482186151,0.0039157628556565635,1.2036316423910658,0.05588741267578942,0.004833402356931141,1.3341942777154756,0.0005,188.40656113624573
38,0.04153543394330948,0.0036765766919605314,1.1662214626597087,0.05451226984603064,0.004647498903529984,1.3092323790353426,0.0005,186.17679476737976
39,0.04093713264238267,0.0037818232182235943,1.182035246038308,0.054199324884584975,0.004767917252012662,1.3303442507060315,0.0005,195.40237069129944
40,0.04036848004564406,0.0036100399189052126,1.1545770282025232,0.05397941904408591,0.004629822662898473,1.3071306436034853,0.0005,177.72848510742188
