epoch,train_loss,train_mse,train_mae,val_loss,val_mse,val_mae,lr,seconds
1,0.12814291923575932,0.01117480729047268,2.029720240699621,0.13171442090613503,0.011403367074472563,2.053025865749431,0.001,200.7733507156372
2,0.09928266875800633,0.00827411266924843,1.7468932647849433,0.10301351007393428,0.008443641138928277,1.7639308473625546,0.001,154.1055669784546
3,0.08653860767114731,0.007056910409340783,1.6138818935205155,0.08846714721407209,0.00713275215455464,1.6252803155418998,0.001,158.05371165275574
4,0.08090910719831784,0.006689032403013063,1.5696372723177072,0.08227286584888185,0.006714699896318572,1.5759315998776389,0.001,131.96334981918335
5,0.07861906980238263,0.008170914525550509,1.7458620749562734,0.08123840604509626,0.00826754481451852,1.7591937130066129,0.001,127.41440105438232
6,0.07117655945864934,0.0056989938969176914,1.4470758481234405,0.07366273271186011,0.005802992486527988,1.4660166112489597,0.001,130.17897510528564
7,0.06967199946206713,0.0057816768688341924,1.4571072958057505,0.07262276510681424,0.005930589586496353,1.4792137806935246,0.001,133.80102276802063
8,0.06781305072988783,0.005447623879190475,1.4183830087088005,0.0715364083477429,0.005650286776678903,1.4492241266000023,0.001,143.2373149394989
9,0.06490059939405275,0.005259592825931216,1.3912685506243108,0.06885195534569877,0.005492084332874843,1.42087119448745,0.001,131.5393636226654
10,0.06533988723253446,0.005673320579859946,1.4450393483156965,0.06933264370475496,0.005908293867749827,1.480608969858563,0.001,133.33646202087402
11,0.06659774960317309,0.00534100795856544,1.4038274867190694,0.07052249791792461,0.005536182258810316,1.4256971061715815,0.001,123.83080577850342
12,0.06220302883736671,0.005034789480150692,1.360653489062223,0.06689252007007598,0.005309448212385178,1.3922227672988614,0.001,128.77264213562012
13,0.060590667572759445,0.0050421897601040586,1.3624847105603244,0.06557665978159223,0.005323673644236156,1.4008810473375148,0.001,137.16976618766785
14,0.05912501998222063,0.004784980343920844,1.3282137825444076,0.06385187772342137,0.005040167282734599,1.3576393996676621,0.001,122.11747455596924
15,0.058222441887571696,0.005123679094844394,1.3750034428796891,0.0632983478648322,0.005434798060783318,1.4138163206463434,0.001,148.33503913879395
16,0.05723143825408012,0.004908134132978462,1.3436146986701123,0.06228642014094762,0.0052237892587270055,1.3850599982866545,0.001,142.77151489257812
17,0.05702509867009663,0.004804107767130647,1.3287459195156375,0.06216188261338643,0.005114743491368635,1.3732835277548383,0.001,128.04645681381226
18,0.05649543323024871,0.004966342798419415,1.3522746003961972,0.06228613777671541,0.005335926003754139,1.4026188530165689,0.001,131.35480570793152
19,0.05695825093085804,0.004733903441400755,1.319610112421193,0.061906293792384014,0.005040468429880483,1.3647668054862125,0.001,133.09233379364014
20,0.056281382850711305,0.0051885027767173825,1.3841327363095863,0.060562265174729485,0.005434680370347841,1.421334492875736,0.001,128.1668303012848
21,0.0547446123706916,0.004714117464210306,1.318242435632599,0.06030279834781374,0.005063868735517774,1.3701296495743718,0.001,122.21395230293274
22,0.055830164220124955,0.0046368710817325685,1.306975486219735,0.060727087148598265,0.004924245144639697,1.3456913802988355,0.001,137.7479166984558
23,0.05402325632695168,0.0044275798485392615,1.2765564887715368,0.05967155820131302,0.004800165991697992,1.3248303021207366,0.001,159.11106252670288
24,0.05441165243112852,0.004479812123472728,1.2832563422658103,0.059774620251996174,0.00481372771518571,1.3290218068161734,0.001,141.49021434783936
25,0.05460844374081445,0.00511940257783447,1.3763087249826074,0.06067959984711238,0.005513991232429232,1.4300027685588257,0.001,122.26234602928162
26,0.055143760339608265,0.005133430248924664,1.3756290314492374,0.060822450459003446,0.005511084490588733,1.4270766158862618,0.001,122.29639434814453
27,0.05355354557150886,0.005052731035484208,1.3677776151295555,0.05974177614280156,0.00544060276980911,1.4197101835001655,0.0005,122.63836145401001
28,0.05086609316960214,0.004262716583316288,1.2517502594080896,0.057161096317427496,0.0046688910999468395,1.3111261227200892,0.0005,121.44015288352966
29,0.05116787080916147,0.004343427313698663,1.2646481399796965,0.05755563172272273,0.00476146425306797,1.32466366781235,0.0005,122.19859313964844
30,0.05034196885568755,0.004179990984381191,1.238705770999154,0.05681656371695655,0.004609195406947817,1.3029178934615648,0.0005,121.9440484046936
31,0.05044673049544531,0.004226764152210856,1.2472990912218123,0.057045465639659336,0.0046460679812090734,1.306935179377993,0.0005,122.28550601005554
32,0.04945600557374576,0.004105831432200614,1.2269299763694623,0.055856799278940474,0.004541891361985888,1.296732900281287,0.0005,151.56333756446838
33,0.04973543616608968,0.0042206561597330225,1.245748246381223,0.05673256227799824,0.004688682087830135,1.3208110320393305,0.0005,139.98614120483398
34,0.050005527600409494,0.004512895185322989,1.2886089004335461,0.05672103926113674,0.004975151824099677,1.3556685963890165,0.0005,132.77398085594177
35,0.04954201954603195,0.00424706380968056,1.249896522919428,0.056347423766340526,0.004713079946381705,1.3238371444631942,0.0005,142.40132308006287
36,0.049265643135895806,0.00409439316320987,1.226073622385921,0.05625150736740657,0.00456626063053097,1.2992757560974086,0.00025,162.09634637832642
37,0.048258763831759255,0.004031752974741043,1.2165319203116314,0.05502099742208209,0.004493475207260677,1.2885365169010383,0.00025,138.03967785835266
38,0.04788101997451177,0.004094183170842746,1.226439989400632,0.054928235275404795,0.004575981161424092,1.300987611792147,0.00025,122.5665557384491
39,0.04783616125252512,0.004147281309678441,1.2346781426227862,0.05471687170437404,0.004614891284278461,1.3053518496230656,0.00025,121.69307255744934
40,0.047445523333927944,0.004025729917817645,1.21602524330027,0.054819316974708016,0.004534001264188971,1.295655195700635,0.00025,142.4494481086731
